title,poster,tag,body,score
"FS: Adidas Response CL Mens Shoes (comes with Free Adidas Men 3-Stripes SJT)","u/jmmirari","Item for sale","","1"
"Looking for Work / Tasks / Requests – Open to Anything","u/AccessAdventurous848","Need a job","Hi! I’m a hardworking 20-year-old student looking for extra work to help support my medical and living expenses.   I can assist with:  Basic research and write-ups  Essays  Errands  Projects  Schoolwork  Other reasonable requests  Starting rate: ₱200 and up (depending on the task)   I currently support myself, so any opportunity or referral would mean a lot and truly make a difference. Thank you so much! Price: 200 and up","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS Part 6","u/ninikat11","Item for sale","","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS part 5","u/ninikat11","Item for sale","","1"
"For hire: Errand to go to DOST FPRDI (Forestry) Los Baños","u/Turbulent_Ad991","Hiring","Hello po. Need someone na pupunta sa facility para sa research namin. Price starts at 100/hr but negotiable (for rule #1) purpose. Just send me a dm will reply asap. Thank you po","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS Part 4","u/ninikat11","Item for sale","","1"
"Nike Quest 5 White Running Shoes MEN S.11","u/BigDahDeh","Item for sale","","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS part 3","u/ninikat11","Item for sale","","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS Part 2","u/ninikat11","Item for sale","","1"
"Decluttering Clothes for funds 🙏 price posted ✨️ TOPS part 1","u/ninikat11","Item for sale","","1"
"Printable Templates for Sale – Help Me Raise Tuition Funds","u/CharacterRoll6088","Item for sale","Hi everyone! I’m planning to go back to school this SY, and I’m currently raising funds to help pay for my tuition. To support my studies, I’m selling ALL-IN-ONE CANVA TEMPLATE BUNDLE for ONLY ₱50. Any support would mean so much to me. 🥹   🏷️ PRICE: ₱50 ❣️   📦 40,000+ Canva Templates ♾️ Lifetime Access 💻 Fully Editable in Canva 💰 Resellable – perfect for side hustles   ✨ Perfect for: ✅ Printing shops ✅ Students ✅ Stay-at-home moms ✅ Single parents ✅ Online sellers ✅ Anyone who wants a side hustle   💡 WHAT’S INCLUDED: • Invitations (Birthday, Wedding, Baptism) • Party templates (chip bags, souvenirs, boxes) • Printing business templates • Ref magnets, mug wraps, tarpaulins • Notepads, planners, calendars • 6,000+ kids educational materials • Busy books & worksheets • Business templates & trackers • Packaging templates & drag-and-drop boxes • Holiday bundles (Christmas, Valentine’s, Halloween) • And so much more! 🤩   📌 DM me for preview and full inclusions po.   💌 PM TO AVAIL – ONLY ₱50 FOR EVERYTHING!   Every purchase helps me save for my tuition so I can return to school next year. Thank you so much po! 🙏💗","1"
"need funds for my cat’s spay surgery","u/jeonkimchi","Item for sale","","1"
"Rush Selling Book Sets (Price: 1k)","u/Flat_Photograph_1043","Item for sale","","1"
"Poco X7 256gb","u/Rog-ue","Item for sale","","0"
"Nutrition Consultation (Price: Free)","u/Treasure_Lies_157","n/a","","3"
"Xiaomi pad 7 8/128 for sale with 8bitdo ultimate controller price: 12,000","u/blacksword2013","Item for sale","","3"
"price: 0 - free medicine","u/snowiscoming111","n/a","","5"
"For Sale: Various Items, Gadgets, Small Appliances, Bag, Coat, Shoes","u/Ok-Log-2639","Item for sale","","5"
"FOR SALE: Brazilian Ribeye Steaks","u/Jiohoephase","Item for sale","","44"
"YouTube premium subscription 2 slots open","u/optiiimusxsz","Item for sale","Price: 100 pesos per month   Legit account. You will be using your own gmail account.   Preferably, long term/bulk payment of at least 6 months para hindi hassle on both ends.   2 slots open. DM lang.","2"
"Price: FREE. Baka lang may gusto. Just bought them last month. Decluterring.","u/YlowLemonTree","n/a","","1"
"Decluttering sale!","u/Xilhiya","Item for sale","","1"
"LF Day Driver With Car. Price: TBD","u/Decent_Zebra_3675","Hiring","Lf a driver this friday. Please pm me your prices. Pickup area is in metro manila and the destination is in the south.","2"
"Premium accounts for sale, price list below","u/Jhet32","Item for sale","","1"
"UnionBank U Credit Card - No Spending Requirement","u/Lopsided-Froyo1988","n/a","","2"
"Price: Free (Working Student Seeking Small Loan Until Payday)","u/michelleanna29","Where do I find...","Hi, I’m a working student and I’m honestly in a tight spot right now. I recently had to pay for several school-related expenses, and on top of that, my cat got sick, so most of my budget went there. I’m just trying to get by until payday.   I’m looking for a small loan to help cover my transportation and food until the 20th, which is when I get paid. I fully intend to pay it back on that date.   I know this is a big ask, especially from a stranger online, but I just wanted to try and ask in case anyone is willing to help. Thank you for taking the time to read this.","8"
"FS: Ghost of Tsushima - Director's Cut (PRICE: ₱1300)","u/bjornicles11","n/a","","1"
